inquiryprop,disciplineprop,traditionalprop,progressiveprop,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocsd,povertyschool,povertysd,childpovertysd,urban,primary,middle,high,otherlevel,students,age,state,cmoname,level,localefine,numwords,numpdfs,numpages,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,certrate,teacherratio,teacherscrdc,giftedcount,approgram,apcourses,titlei,geodistrict,districtname,schoolname,ethnicisolated99,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,address,latitude,longitude
0.007485029940119757,0.0,0.0,0.0,LT50,LE20,20-29,40-59,20-29,50-59,100.0,22.180000000000007,60.65573770491803,30.71,0.4875703564727955,0,0.0,0.0,1.0,0.0,122.0,17,AZ,,High,Town (remote),668.0,0,1,0.0,0.0,0.0,0.0,28.0,,1.0,,6.0,,No,,1.0,402530.0,Center for Academic Success  Inc.,Center for Academic Success  The #2,1,1,1,1,9.079999999999998,44.55048,14.04,25.16,0.0,13,5," 510 G Avenue , Douglas AZ 85607.0 ",31.339564,-109.554814
0.007485029940119757,0.0,0.0,0.0,20-24,35-39,25-29,50-54,20-24,35-39,100.0,22.180000000000007,90.78498293515358,30.71,0.4875703564727955,0,1.0,0.0,0.0,0.0,293.0,16,AZ,,Primary,Town (remote),668.0,0,1,0.0,0.0,0.0,0.0,199.0,,1.0,,7.0,,,,1.0,402530.0,Center for Academic Success  Inc.,Center for Academic Success  The #3,1,1,1,1,9.079999999999998,44.55048,14.04,25.16,0.0,13,5," 919 3rd St. , Douglas AZ 85607.0 ",31.336993,-109.547415
0.007485029940119757,0.0,0.0,0.0,14,17,18,28,22,36,99.33993399339934,22.180000000000007,94.38943894389439,30.71,0.4875703564727955,0,0.0,1.0,0.0,0.0,303.0,11,AZ,Center for Academic Success,Middle,Town (remote),668.0,0,1,0.0,0.0,0.0,0.0,106.0,,1.0,,6.0,,,,1.0,402530.0,Center for Academic Success  Inc.,Center for Academic Success #4,1,1,1,1,9.079999999999998,44.55048,14.04,25.16,0.0,13,5," 1415 F Avenue , Douglas AZ 85607.0 ",31.349052,-109.552012
0.010542168674698798,0.0,0.0,0.0,45,24,39,23,42,23,55.75916230366492,20.590000000000003,62.82722513089005,12.41,0.28942199775533106,1,1.0,0.0,0.0,0.0,382.0,11,AZ,Center for Academic Success,Primary,City (small),664.0,0,1,0.0,0.0,0.0,0.0,9.0,45.0,1.0,,18.0,,,,1.0,401460.0,Center for Academic Success  Inc.,Center for Academic Success #5,1,1,1,1,30.1,448.3963,8.12,9.34,0.0,15,4," 900 Carmelita Drive , Sierra Vista AZ 85635.0 ",31.55762,-110.290171
0.005596916415861448,0.00026392884478344645,0.0015571801842223342,0.0007918910357934747,40-44,25-29,40-44,25-29,40-44,30-34,32.388663967611336,23.349999999999994,39.67611336032389,10.9,0.15996384997740623,1,1.0,0.0,0.0,0.0,247.0,17,AZ,,Primary,City (small),37889.0,0,51,4.0,7.0,0.0,0.0,6.0,47.0,0.8125,,16.0,,,,1.0,402860.0,Pine Forest Education Association  Inc.,Pine Forest School,1,1,1,1,42.94,21.70908,7.33,5.82,0.0,15,4," 1120 West Kaibab Lane , Flagstaff AZ 86001.0 ",35.191784,-111.666654
0.0047951402352332945,0.0005428320322597322,0.00011632114976994262,9.047551344853876e-05,55-59,40-44,40-44,30-34,55-59,45-49,19.25465838509317,23.349999999999994,,10.9,0.15996384997740623,1,0.0,0.0,1.0,0.0,322.0,17,AZ,,High,City (small),77372.0,0,92,0.0,0.0,0.0,0.0,0.0,55.0,0.2247191011235955,,22.25,,Yes,5.0,0.0,402860.0,Flagstaff Arts And Leadership Academy,Flagstaff Arts And Leadership Academy,1,1,1,1,42.94,21.70908,7.33,5.82,0.0,15,4," 3401 N Fort Valley Road , Flagstaff AZ 86001.0 ",35.237934,-111.668799
0.010547905068854382,0.001171303074670571,0.00029282576866764264,0.0002929115407147042,60-64,35-39,70-74,60-64,75-79,55-59,16.27906976744186,23.349999999999994,,10.9,0.15996384997740623,1,1.0,0.0,0.0,0.0,215.0,17,AZ,"Montessori Charter School of Flagstaff, Inc.",Primary,City (small),3415.0,0,4,0.0,0.0,0.0,0.0,0.0,22.0,0.2222222222222222,,18.0,,,,0.0,402860.0,Flagstaff Montessori  L.L.C.,Montessori Charter School of Flagstaff - Campus,1,1,1,1,42.94,21.70908,7.33,5.82,0.0,15,4," 850 N. Locust , Flagstaff AZ 86001.0 ",35.200466,-111.631429
0.007409602845287489,0.00029612081729345576,0.002368966538347645,0.0005925925925925928,35-39,25-29,40-44,30-34,50-54,40-44,29.807692307692307,10.680000000000007,19.230769230769234,12.76,0.23823704586063132,0,1.0,0.0,0.0,0.0,104.0,17,AZ,,Primary,Town (remote),3377.0,0,9,0.0,0.0,0.0,0.0,2.0,12.0,0.5,,6.0,,,,0.0,407240.0,Triumphant Learning Center,Triumphant Learning Center,1,1,1,1,11.889999999999999,37.65704,11.62,4.07,0.0,18,6," 201 E. Main Street , Safford AZ 85546.0 ",32.83311,-109.7052
0.007529235862658195,0.0022948020066175696,0.0004268715650178755,0.0002134813470673,52,38,56,61,63,70,21.17039586919105,14.590000000000003,2.2375215146299485,5.22,0.10628029161405939,1,1.0,0.0,0.0,0.0,581.0,17,AZ,,Primary,City (large),18741.0,0,44,0.0,12.0,0.0,0.0,8.0,,0.8378378378378378,,37.0,,,,0.0,407750.0,Ridgeline Academy  Inc.,Ridgeline Academy-A Challenge Foundation Academy  Inc.,1,1,1,1,35.55,680.4244,5.24,10.6,0.0,18,6," 33625 N. North Valley Parkway , Phoenix AZ 85085.0 ",33.79011,-112.120611
0.007960199004975126,0.0,0.0,0.0009930486593843098,25-29,35-39,45-49,45-49,50-54,45-49,75.73221757322176,15.709999999999994,,12.62,0.22460726705840028,1,1.0,0.0,0.0,0.0,239.0,17,AZ,,Primary,City (large),1008.0,0,1,0.0,1.0,0.0,0.0,19.0,35.0,1.0,,12.0,,,,1.0,404970.0,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy,Mesa Arts Academy,1,1,1,1,24.41,2595.901,7.47,12.05,0.0,18,6," 221 West 6th Avenue , Mesa AZ 85210.0 ",33.403716,-111.836169
